id,YCoordi0te,XCoordi0te,elevation,slope,aspect,region,country,geometry,area,map_class
608,11.49475177,104.1366279,123,0.010863375,1.58328357,Kâmpóng Spœ,Cambodia,points,1,Degradation
753,11.49774898,104.2078289,77,0.00421569,6.019190138,Kâmpóng Spœ,Cambodia,points,1,Degradation
195,11.5009663,104.1135691,169,0.02457715,1.365167121,Kâmpóng Spœ,Cambodia,points,1,Degradation
82,11.50560664,104.1601,116,0.016155731,2.615525646,Kâmpóng Spœ,Cambodia,points,1,Degradation
368,11.50415029,104.210646,74,0.004685463,0.177010734,Kâmpóng Spœ,Cambodia,points,1,Degradation
910,11.51066531,104.1428268,125,0.009106901,3.448373128,Kâmpóng Spœ,Cambodia,points,1,Degradation
551,11.50756967,104.1521225,119,0.013783567,3.031638215,Kâmpóng Spœ,Cambodia,points,1,Degradation
160,11.50911854,104.1570529,139,0.010907618,3.242617563,Kâmpóng Spœ,Cambodia,points,1,Degradation
665,11.51238855,104.1679701,117,0.013149037,2.541517228,Kâmpóng Spœ,Cambodia,points,1,Degradation
323,11.51385282,104.1475417,125,0.009106901,3.448373128,Kâmpóng Spœ,Cambodia,points,1,Degradation
46,11.51448136,104.1534656,139,0.010907618,3.242617563,Kâmpóng Spœ,Cambodia,points,1,Degradation
20,11.51410861,104.1610837,127,0.015094453,2.426236092,Kâmpóng Spœ,Cambodia,points,1,Degradation
302,11.52007815,104.1491127,129,0.003008916,5.231291909,Kâmpóng Spœ,Cambodia,points,1,Degradation
445,11.52867595,104.1406552,135,0.018868407,1.294108853,Kâmpóng Spœ,Cambodia,points,1,Degradation
465,11.53276895,104.1915544,91,0.014601544,1.129256706,Kâmpóng Spœ,Cambodia,points,1,Degradation
838,11.53860359,104.1367452,129,0.019525355,1.45242497,Kâmpóng Spœ,Cambodia,points,1,Degradation
806,11.5745824,104.1553754,102,0.008896343,1.078456127,Kâmpóng Spœ,Cambodia,points,1,Degradation
802,11.57731433,104.1566654,101,0.010337548,1.236554441,Kâmpóng Spœ,Cambodia,points,1,Degradation
97,11.58287231,104.1272462,129,0.014919007,0.857100084,Kâmpóng Spœ,Cambodia,points,1,Degradation
21,11.58833231,104.1005091,143,0.023156545,0.179125581,Kâmpóng Spœ,Cambodia,points,1,Degradation
40,11.5892114,104.1323024,118,0.014637815,0.385314754,Kâmpóng Spœ,Cambodia,points,1,Degradation
180,11.59858391,104.1381513,103,0.012118667,0.34745177,Kâmpóng Spœ,Cambodia,points,1,Degradation
916,12.39408664,107.3455183,860,0.023870511,0.150813756,Môndól Kiri,Cambodia,points,1,Degradation
485,12.82145335,104.9004114,19,0.000580944,3.936255501,Kâmpóng Thum,Cambodia,points,1,Degradation
401,12.90049987,104.9117108,18,0.000692221,3.342647356,Kâmpóng Thum,Cambodia,points,1,Degradation
734,12.90154226,104.965124,23,0.000968404,3.936421527,Kâmpóng Thum,Cambodia,points,1,Degradation
728,13.02900339,104.915662,33,0.002522188,2.423384256,Kâmpóng Thum,Cambodia,points,1,Degradation
138,13.0980001,106.2175076,65,0.005492209,2.523661846,Krâchéh,Cambodia,points,1,Degradation
229,13.09464989,106.2199592,65,0.005492209,2.523661846,Krâchéh,Cambodia,points,1,Degradation
560,13.11875903,106.2548483,81,0.003255719,3.141592654,Krâchéh,Cambodia,points,1,Degradation
318,10.91795008,103.4160886,25,0,0,Kaôh Kong,Cambodia,points,1,Enhancement
922,10.92334644,103.3570082,23,0.013278183,3.276349759,Kaôh Kong,Cambodia,points,1,Enhancement
539,10.95519361,103.2477298,8,0.009707776,4.032373001,Kaôh Kong,Cambodia,points,1,Enhancement
193,10.95586542,103.7209005,8,0.003310178,4.290141455,Kaôh Kong,Cambodia,points,1,Enhancement
400,11.00696626,103.6846755,13,0.006088285,4.96000377,Kaôh Kong,Cambodia,points,1,Enhancement
505,11.03733103,103.6952448,14,0.003892805,0.436973842,Kaôh Kong,Cambodia,points,1,Enhancement
157,11.06624386,103.7218846,4,0.003549849,5.710989105,Kaôh Kong,Cambodia,points,1,Enhancement
909,11.09826918,103.4228089,11,0.006106375,0.368040413,Kaôh Kong,Cambodia,points,1,Enhancement
240,11.15712525,103.4058607,20,0.01381673,3.793012644,Kaôh Kong,Cambodia,points,1,Enhancement
154,11.15122748,103.4395573,17,0.01758168,0.82451398,Kaôh Kong,Cambodia,points,1,Enhancement
907,11.14748632,103.457923,5,0.001085243,6.283185307,Kaôh Kong,Cambodia,points,1,Enhancement
223,11.22417626,103.5023812,8,0.005697466,3.141592654,Kaôh Kong,Cambodia,points,1,Enhancement
613,11.23809607,103.4678496,17,0.020487972,2.756707194,Kaôh Kong,Cambodia,points,1,Enhancement
689,11.23365452,103.4984965,29,0.02421702,3.341433494,Kaôh Kong,Cambodia,points,1,Enhancement
856,11.24254973,103.4993347,67,0.029831753,3.651413047,Kaôh Kong,Cambodia,points,1,Enhancement
89,11.24353468,103.5751848,29,0.028164935,3.014459122,Kaôh Kong,Cambodia,points,1,Enhancement
56,11.75249276,104.3915618,87,0.008564812,0.656857212,Kâmpóng Spœ,Cambodia,points,1,Enhancement
